2023-04-25 09:49:45,855 INFO    StreamThr :150903 [internal.py:wandb_internal():86] W&B internal server running at pid: 150903, started at: 2023-04-25 09:49:45.855490
2023-04-25 09:49:45,856 DEBUG   HandlerThread:150903 [handler.py:handle_request():144] handle_request: status
2023-04-25 09:49:45,858 INFO    WriterThread:150903 [datastore.py:open_for_write():85] open: /home/nina/Documents/GeoLifeCLEF/wandb/run-20230425_094945-s7vseapn/run-s7vseapn.wandb
2023-04-25 09:49:45,858 DEBUG   SenderThread:150903 [sender.py:send():375] send: header
2023-04-25 09:49:45,868 DEBUG   SenderThread:150903 [sender.py:send():375] send: run
2023-04-25 09:49:46,511 INFO    SenderThread:150903 [dir_watcher.py:__init__():219] watching files in: /home/nina/Documents/GeoLifeCLEF/wandb/run-20230425_094945-s7vseapn/files
2023-04-25 09:49:46,512 INFO    SenderThread:150903 [sender.py:_start_run_threads():1124] run started: s7vseapn with start time 1682408985.855991
2023-04-25 09:49:46,512 DEBUG   SenderThread:150903 [sender.py:send_request():402] send_request: summary_record
2023-04-25 09:49:46,512 INFO    SenderThread:150903 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-25 09:49:46,515 DEBUG   HandlerThread:150903 [handler.py:handle_request():144] handle_request: check_version
2023-04-25 09:49:46,515 DEBUG   SenderThread:150903 [sender.py:send_request():402] send_request: check_version
2023-04-25 09:49:46,579 DEBUG   HandlerThread:150903 [handler.py:handle_request():144] handle_request: run_start
2023-04-25 09:49:46,582 DEBUG   HandlerThread:150903 [system_info.py:__init__():31] System info init
2023-04-25 09:49:46,582 DEBUG   HandlerThread:150903 [system_info.py:__init__():46] System info init done
2023-04-25 09:49:46,582 INFO    HandlerThread:150903 [system_monitor.py:start():181] Starting system monitor
2023-04-25 09:49:46,582 INFO    SystemMonitor:150903 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-25 09:49:46,582 INFO    HandlerThread:150903 [system_monitor.py:probe():201] Collecting system info
2023-04-25 09:49:46,582 INFO    SystemMonitor:150903 [interfaces.py:start():190] Started cpu monitoring
2023-04-25 09:49:46,582 INFO    SystemMonitor:150903 [interfaces.py:start():190] Started disk monitoring
2023-04-25 09:49:46,583 INFO    SystemMonitor:150903 [interfaces.py:start():190] Started gpu monitoring
2023-04-25 09:49:46,583 INFO    SystemMonitor:150903 [interfaces.py:start():190] Started memory monitoring
2023-04-25 09:49:46,584 INFO    SystemMonitor:150903 [interfaces.py:start():190] Started network monitoring
2023-04-25 09:49:46,608 DEBUG   HandlerThread:150903 [system_info.py:probe():195] Probing system
2023-04-25 09:49:46,613 DEBUG   HandlerThread:150903 [system_info.py:_probe_git():180] Probing git
2023-04-25 09:49:46,620 DEBUG   HandlerThread:150903 [system_info.py:_probe_git():188] Probing git done
2023-04-25 09:49:46,620 DEBUG   HandlerThread:150903 [system_info.py:probe():240] Probing system done
